zebrafish_atp6,whaleshark_atp6,458
zebrafish_atp8,whaleshark_atp8,77
zebrafish_co1,whaleshark_cox1,1381
zebrafish_co2,whaleshark_cox2,565
zebrafish_co3,whaleshark_cox3,618
zebrafish_cyb,whaleshark_cytb,712
zebrafish_nd1,whaleshark_nd1,534
zebrafish_nd2,whaleshark_nd2,432
zebrafish_nd3,whaleshark_nd3,163
zebrafish_nd4,whaleshark_nd4,705
zebrafish_nd4l,whaleshark_nd4l,145
zebrafish_nd5,whaleshark_nd5,754
zebrafish_nd6,whaleshark_nd6,122
zebrafish_rnr1,whaleshark_nd2,27
zebrafish_rnr2,whaleshark_cox1,44
zebrafish_ta,whaleshark_atp6,21
zebrafish_tc,whaleshark_cox1,23
zebrafish_td,,
zebrafish_te,whaleshark_cox1,21
zebrafish_tg,,
zebrafish_th,whaleshark_cox2,18
zebrafish_ti,,
zebrafish_tk,whaleshark_atp6,18
zebrafish_tl1,whaleshark_cytb,39
zebrafish_tl2,whaleshark_cox2,21
zebrafish_tm,whaleshark_cox3,23
zebrafish_tn,,
zebrafish_tp,whaleshark_nd1,23
zebrafish_tq,,
zebrafish_tr,,
zebrafish_ts1,,
zebrafish_ts2,whaleshark_nd6,25
zebrafish_tt,,
zebrafish_tv,,
zebrafish_tw,,
zebrafish_ty,whaleshark_nd5,18
